,Joueur,Agressivité,Anticipation,Courage,Sang-froid,Concentration,Décisions,Appels de balle,Placement,Travail d'équipe,Vision du jeu,Volume de jeu
,Josh Street,13,14,12,12,16,17,3,16,9,16,10
,Achraf Hakimi,15,13,12,13,13,13,17,13,13,13,14
,Leny Yoro,12,16,14,15,16,15,11,16,12,14,13
,Matthijs de Ligt,16,15,18,12,15,14,7,16,15,10,15
,Alejandro Grimaldo,12,16,12,17,14,15,15,11,14,15,15
,Ayyoub Bouaddi,11,17,13,15,17,17,13,18,14,18,16
,Lucas Bergvall,12,15,11,19,14,15,15,11,15,18,17
,Bruno Fernandes,18,17,15,15,14,12,16,8,15,18,19
,Rayan Cherki,8,12,12,16,11,14,13,9,12,17,12
,Kylian Mbappé,6,17,12,17,16,16,18,5,10,17,13
,Marcus Rashford,10,14,8,13,12,12,16,4,11,13,10
,Senne Lammens,5,14,12,13,14,14,12,15,12,12,13
,Éder Militão,15,15,16,12,12,14,12,16,13,12,17
,Aleksandar Pavlović,12,18,13,18,17,17,11,15,16,16,14
,Lamine Yamal,9,13,11,17,14,16,15,7,12,18,11
,Noussair Mazraoui,13,14,14,14,13,14,14,12,16,14,16
,Gavi,19,15,19,12,16,14,16,12,15,15,17
,Bendito Mantato,14,11,9,12,7,11,13,6,10,9,11
,Luke Shaw,13,14,13,14,13,13,13,14,15,12,13
,Eric García,13,14,14,15,15,13,11,15,16,14,15
,Radek Vítek,14,15,12,11,12,12,3,13,10,5,8
,Elyh Harrison,8,13,12,15,14,11,3,13,7,9,8
,Aaron Butler,16,12,15,10,13,14,6,12,15,12,15
,Kim Min-Jae,16,16,17,13,12,12,8,16,12,13,15
,Harry Amass,12,13,10,14,12,12,13,13,12,8,13
,Diego León,15,13,13,11,11,11,13,13,12,10,13
,Jaydan Kamason,13,11,11,9,11,11,11,10,11,6,13
,Tyler Fletcher,11,14,10,13,13,13,12,14,14,13,14
,Pedri,12,16,12,16,16,16,15,13,16,18,16
,Shea Lacey,12,15,8,15,9,12,14,8,11,15,12
,Endrick,16,16,15,16,14,15,17,10,12,16,15
,Victor Osimhen,8,15,16,16,13,14,18,7,13,11,15
,Enzo Kana-Biyik,7,12,7,10,5,13,15,8,7,8,9
,Eli Junior Kroupi,9,14,10,13,11,16,13,7,12,13,13
